geo_key,county_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
09020030003,金門縣,金湖鎮,正義里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,80,7.75,1032,33,1065,2652,40.16,09,020,00,030,0003
09020030003,金門縣,金湖鎮,正義里,2,朱紀瑋,龍黨,1,61,N,NA,6,0.58,1032,33,1065,2652,40.16,09,020,00,030,0003
09020030003,金門縣,金湖鎮,正義里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,3,0.29,1032,33,1065,2652,40.16,09,020,00,030,0003
09020030003,金門縣,金湖鎮,正義里,4,楊鎮浯,中國國民黨,1,50,Y,NA,321,31.1,1032,33,1065,2652,40.16,09,020,00,030,0003
09020030003,金門縣,金湖鎮,正義里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,604,58.53,1032,33,1065,2652,40.16,09,020,00,030,0003
09020030003,金門縣,金湖鎮,正義里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,18,1.74,1032,33,1065,2652,40.16,09,020,00,030,0003
09020030004,金門縣,金湖鎮,料羅里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,83,10.67,778,12,790,2138,36.95,09,020,00,030,0004
09020030004,金門縣,金湖鎮,料羅里,2,朱紀瑋,龍黨,1,61,N,NA,2,0.26,778,12,790,2138,36.95,09,020,00,030,0004
09020030004,金門縣,金湖鎮,料羅里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,1,0.13,778,12,790,2138,36.95,09,020,00,030,0004
09020030004,金門縣,金湖鎮,料羅里,4,楊鎮浯,中國國民黨,1,50,Y,NA,264,33.93,778,12,790,2138,36.95,09,020,00,030,0004
09020030004,金門縣,金湖鎮,料羅里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,413,53.08,778,12,790,2138,36.95,09,020,00,030,0004
09020030004,金門縣,金湖鎮,料羅里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,15,1.93,778,12,790,2138,36.95,09,020,00,030,0004
09020030005,金門縣,金湖鎮,瓊林里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,100,7.55,1325,22,1347,3252,41.42,09,020,00,030,0005
09020030005,金門縣,金湖鎮,瓊林里,2,朱紀瑋,龍黨,1,61,N,NA,4,0.3,1325,22,1347,3252,41.42,09,020,00,030,0005
09020030005,金門縣,金湖鎮,瓊林里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,3,0.23,1325,22,1347,3252,41.42,09,020,00,030,0005
09020030005,金門縣,金湖鎮,瓊林里,4,楊鎮浯,中國國民黨,1,50,Y,NA,480,36.23,1325,22,1347,3252,41.42,09,020,00,030,0005
09020030005,金門縣,金湖鎮,瓊林里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,718,54.19,1325,22,1347,3252,41.42,09,020,00,030,0005
09020030005,金門縣,金湖鎮,瓊林里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,20,1.51,1325,22,1347,3252,41.42,09,020,00,030,0005
09020030006,金門縣,金湖鎮,新湖里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,293,8.81,3326,46,3372,7990,42.2,09,020,00,030,0006
09020030006,金門縣,金湖鎮,新湖里,2,朱紀瑋,龍黨,1,61,N,NA,9,0.27,3326,46,3372,7990,42.2,09,020,00,030,0006
09020030006,金門縣,金湖鎮,新湖里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,4,0.12,3326,46,3372,7990,42.2,09,020,00,030,0006
09020030006,金門縣,金湖鎮,新湖里,4,楊鎮浯,中國國民黨,1,50,Y,NA,1050,31.57,3326,46,3372,7990,42.2,09,020,00,030,0006
09020030006,金門縣,金湖鎮,新湖里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,1937,58.24,3326,46,3372,7990,42.2,09,020,00,030,0006
09020030006,金門縣,金湖鎮,新湖里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,33,0.99,3326,46,3372,7990,42.2,09,020,00,030,0006
09020030007,金門縣,金湖鎮,溪湖里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,47,7.62,617,13,630,1537,40.99,09,020,00,030,0007
09020030007,金門縣,金湖鎮,溪湖里,2,朱紀瑋,龍黨,1,61,N,NA,3,0.49,617,13,630,1537,40.99,09,020,00,030,0007
09020030007,金門縣,金湖鎮,溪湖里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,2,0.32,617,13,630,1537,40.99,09,020,00,030,0007
09020030007,金門縣,金湖鎮,溪湖里,4,楊鎮浯,中國國民黨,1,50,Y,NA,179,29.01,617,13,630,1537,40.99,09,020,00,030,0007
09020030007,金門縣,金湖鎮,溪湖里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,382,61.91,617,13,630,1537,40.99,09,020,00,030,0007
09020030007,金門縣,金湖鎮,溪湖里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,4,0.65,617,13,630,1537,40.99,09,020,00,030,0007
