geo_key,county_name,township_name,village_name,candidate_no,candidate_name,running_mate,party_name,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,township,village
09020020002,金門縣,金沙鎮,三山里,1,柯文哲,NA,台灣民眾黨,NA,146,22.36,653,3,656,1930,33.99,09,020,020,0002
09020020002,金門縣,金沙鎮,三山里,2,賴清德,NA,民主進步黨,*,56,8.58,653,3,656,1930,33.99,09,020,020,0002
09020020002,金門縣,金沙鎮,三山里,3,侯友宜,NA,中國國民黨,NA,451,69.07,653,3,656,1930,33.99,09,020,020,0002
09020020003,金門縣,金沙鎮,大洋里,1,柯文哲,NA,台灣民眾黨,NA,112,26.29,426,8,434,1173,37,09,020,020,0003
09020020003,金門縣,金沙鎮,大洋里,2,賴清德,NA,民主進步黨,*,34,7.98,426,8,434,1173,37,09,020,020,0003
09020020003,金門縣,金沙鎮,大洋里,3,侯友宜,NA,中國國民黨,NA,280,65.73,426,8,434,1173,37,09,020,020,0003
09020020004,金門縣,金沙鎮,光前里,1,柯文哲,NA,台灣民眾黨,NA,250,29.66,843,7,850,2349,36.19,09,020,020,0004
09020020004,金門縣,金沙鎮,光前里,2,賴清德,NA,民主進步黨,*,75,8.9,843,7,850,2349,36.19,09,020,020,0004
09020020004,金門縣,金沙鎮,光前里,3,侯友宜,NA,中國國民黨,NA,518,61.45,843,7,850,2349,36.19,09,020,020,0004
09020020005,金門縣,金沙鎮,何斗里,1,柯文哲,NA,台灣民眾黨,NA,185,27.33,677,7,684,2055,33.28,09,020,020,0005
09020020005,金門縣,金沙鎮,何斗里,2,賴清德,NA,民主進步黨,*,47,6.94,677,7,684,2055,33.28,09,020,020,0005
09020020005,金門縣,金沙鎮,何斗里,3,侯友宜,NA,中國國民黨,NA,445,65.73,677,7,684,2055,33.28,09,020,020,0005
09020020006,金門縣,金沙鎮,西園里,1,柯文哲,NA,台灣民眾黨,NA,78,17.26,452,3,455,1582,28.76,09,020,020,0006
09020020006,金門縣,金沙鎮,西園里,2,賴清德,NA,民主進步黨,*,30,6.64,452,3,455,1582,28.76,09,020,020,0006
09020020006,金門縣,金沙鎮,西園里,3,侯友宜,NA,中國國民黨,NA,344,76.11,452,3,455,1582,28.76,09,020,020,0006
09020020007,金門縣,金沙鎮,官嶼里,1,柯文哲,NA,台灣民眾黨,NA,148,21.93,675,10,685,2221,30.84,09,020,020,0007
09020020007,金門縣,金沙鎮,官嶼里,2,賴清德,NA,民主進步黨,*,53,7.85,675,10,685,2221,30.84,09,020,020,0007
09020020007,金門縣,金沙鎮,官嶼里,3,侯友宜,NA,中國國民黨,NA,474,70.22,675,10,685,2221,30.84,09,020,020,0007
09020020008,金門縣,金沙鎮,浦山里,1,柯文哲,NA,台灣民眾黨,NA,170,20.68,822,7,829,2380,34.83,09,020,020,0008
09020020008,金門縣,金沙鎮,浦山里,2,賴清德,NA,民主進步黨,*,62,7.54,822,7,829,2380,34.83,09,020,020,0008
09020020008,金門縣,金沙鎮,浦山里,3,侯友宜,NA,中國國民黨,NA,590,71.78,822,7,829,2380,34.83,09,020,020,0008
09020030001,金門縣,金湖鎮,新市里,1,柯文哲,NA,台灣民眾黨,NA,509,29.34,1735,11,1746,4230,41.28,09,020,030,0001
09020030001,金門縣,金湖鎮,新市里,2,賴清德,NA,民主進步黨,*,160,9.22,1735,11,1746,4230,41.28,09,020,030,0001
09020030001,金門縣,金湖鎮,新市里,3,侯友宜,NA,中國國民黨,NA,1066,61.44,1735,11,1746,4230,41.28,09,020,030,0001
09020030002,金門縣,金湖鎮,山外里,1,柯文哲,NA,台灣民眾黨,NA,416,32.12,1295,6,1301,3382,38.47,09,020,030,0002
09020030002,金門縣,金湖鎮,山外里,2,賴清德,NA,民主進步黨,*,127,9.81,1295,6,1301,3382,38.47,09,020,030,0002
09020030002,金門縣,金湖鎮,山外里,3,侯友宜,NA,中國國民黨,NA,752,58.07,1295,6,1301,3382,38.47,09,020,030,0002
09020030003,金門縣,金湖鎮,正義里,1,柯文哲,NA,台灣民眾黨,NA,287,30.18,951,10,961,2697,35.63,09,020,030,0003
09020030003,金門縣,金湖鎮,正義里,2,賴清德,NA,民主進步黨,*,81,8.52,951,10,961,2697,35.63,09,020,030,0003
09020030003,金門縣,金湖鎮,正義里,3,侯友宜,NA,中國國民黨,NA,583,61.3,951,10,961,2697,35.63,09,020,030,0003
09020030004,金門縣,金湖鎮,料羅里,1,柯文哲,NA,台灣民眾黨,NA,267,31.52,847,10,857,2240,38.26,09,020,030,0004
09020030004,金門縣,金湖鎮,料羅里,2,賴清德,NA,民主進步黨,*,97,11.45,847,10,857,2240,38.26,09,020,030,0004
09020030004,金門縣,金湖鎮,料羅里,3,侯友宜,NA,中國國民黨,NA,483,57.02,847,10,857,2240,38.26,09,020,030,0004
09020030005,金門縣,金湖鎮,瓊林里,1,柯文哲,NA,台灣民眾黨,NA,370,29.72,1245,9,1254,3315,37.83,09,020,030,0005
09020030005,金門縣,金湖鎮,瓊林里,2,賴清德,NA,民主進步黨,*,112,9,1245,9,1254,3315,37.83,09,020,030,0005
09020030005,金門縣,金湖鎮,瓊林里,3,侯友宜,NA,中國國民黨,NA,763,61.29,1245,9,1254,3315,37.83,09,020,030,0005
09020030006,金門縣,金湖鎮,新湖里,1,柯文哲,NA,台灣民眾黨,NA,962,30.59,3145,21,3166,8038,39.39,09,020,030,0006
